NN5-067,NN5-107
39.519,27.225
33.39,24.844
9.784,7.058
4.274,15.717
9.521,14.753
30.129,15.292
24.974,17.956
30.3,19.6
30.826,20.933
23.448,7.696
22.883,17.885
20.292,13.875
24.25,14.229
27.262,19.742
35.889,23.98
23.251,23.399
21.804,8.305
20.792,15.278
21.134,15.972
18.556,4.294
23.856,21.939
30.234,19.855
34.495,25.553
23.159,10.303
19.858,10.502
29.958,18.282
24.079,15.575
24.198,21.471
42.175,27.452
2.275,17.815
0,0
23.79,14.399
28.314,12.202
23.632,11.791
30.8,18.835
35.6,21.698
34.035,24.206
24.132,5.272
28.722,12.245
26.631,13.294
25.684,14.201
25.802,15.675
35.245,21.159
34.968,25.255
,7.965
35.744,14.385
25.276,16.412
25.763,12.939
26.999,22.293
36.691,28.713
31.339,24.674
19.108,7.795
25.158,15.958
20.686,13.081
25.039,14.81
22.317,20.762
39.492,24.915
46.291,29.705
26.946,7.2
23.961,19.785
28.722,15.561
29.655,16.156
26.21,15.76
41.636,24.83
35.087,25.95
24.264,7.667
30.615,16.652
20.765,13.946
25.934,14.923
24.974,17.163
40.492,19.175
16.005,23.81
0,10.091
18.425,12.812
25.684,12.84
23.869,13.676
26.394,16.128
30.195,25.737
31.536,24.433
21.186,10.36
27.762,17.971
22.975,13.237
22.488,13.818
28.051,11.253
36.428,22.931
32.68,17.389
22.159,
28.84,15.547
20.305,16.298
23.488,17.871
30.287,20.635
45.857,24.192
39.466,28.642
26.473,9.17
31.326,14.838
25.894,13.549
26.118,12.939
24.158,17.63
35.626,21.882
37.559,5.669
24.119,0
29.366,9.34
22.475,12.755
22.83,15.306
22.12,17.389
34.429,22.775
33.233,25.581
20.581,7.795
26.486,13.421
18.806,11.692
27.301,14.994
27.078,18.169
36.218,21.23
34.705,26.516
8.916,7.554
14.9,14.002
26.46,13.648
23.501,13.903
27.407,16.511
34.193,27.027
44.74,29.351
26.328,
34.061,29.804
26.644,14.81
27.315,16.95
31.326,18.934
35.429,24.164
37.362,28.387
26.736,12.372
32.009,17.545
27.854,15.958
28.038,19.204
26.959,20.04
37.875,24.702
17.123,35.672
0,12.713
23.29,20.096
28.301,19.473
28.761,23.455
34.337,25.255
44.911,39.13
43.359,44.714
27.564,24.107
37.954,46.315
26.946,28.713
6.405,1.885
6.839,3.586
19.648,20.224
1.736,21.769
29.05,6.122
25.776,19.246
30.076,19.657
11.021,3.897
25.539,17.446
27.578,15.66
26.381,16.199
19.976,5.272
29.537,13.832
21.042,5.244
20.042,10.289
23.58,14.13
30.339,16.412
31.26,22.761
25.118,6.321
26.802,13.974
21.081,13.747
19.884,12.67
23.961,12.684
30.234,19.912
33.759,23.795
27.643,6.378
26.368,11.224
24.29,10.544
19.766,10.573
25.184,16.582
35.955,19.629
31.378,25.638
25.539,7.766
26.236,15.306
19.306,10.998
21.791,13.69
28.393,17.843
41.281,26.942
44.529,24.306
33.969,7.866
31.562,13.563
21.107,15.306
25.145,12.783
30.76,14.966
35.363,19.204
41.715,5.626
31.812,6.42
31.904,15.575
22.015,13.265
25.829,12.628
25.552,19.77
36.586,24.802
36.336,20.507
23.698,6.264
23.422,10.402
20.765,12.883
19.187,11.224
1.973,17.602
30.352,20.153
32.036,23.129
23.606,6.505
28.196,13.478
22.212,11.281
23.777,13.719
26.644,17.063
41.097,28.486
41.557,14.98
24.408,0
29.221,0.454
23.146,4.819
12.809,12.755
28.866,17.815
36.362,23.186
33.627,24.561
24.224,5.456
27.433,13.435
25.079,10.728
24.487,12.188
31.839,14.158
34.39,22.491
35.915,20.89
26.065,7.015
29.498,12.713
26.815,11.692
21.002,10.927
28.538,17.276
38.559,21.627
32.614,23.767
14.479,6.236
24.579,18.07
28.038,17.007
28.301,17.191
41.82,30.584
31.746,16.001
33.943,29.28
18.793,8.759
20.634,8.078
37.625,18.948
25.736,15.859
29.682,18.693
36.323,22.548
29.327,21.84
24.763,6.548
29.169,14.98
29.59,11.919
28.09,11.04
31.983,14.371
39.506,20.975
37.401,21.117
32.259,5.754
37.625,12.103
29.84,11.508
22.896,12.812
27.052,15.646
37.204,22.222
37.151,25.496
22.672,8.673
7.706,16.582
47.501,10.899
26.802,12.656
33.377,19.657
38.296,25.765
41.281,27.296
34.534,8.248
35.402,15.434
24.855,15.391
35.284,19.558
,
46.344,23.724
36.744,28.784
24.342,11.465
26.683,9.028
30.011,20.876
27.827,16.27
28.051,16.213
40.584,23.285
32.18,22.364
25.197,6.647
32.851,13.946
27.091,11.791
20.279,13.379
29.84,16.993
30.537,27.523
34.903,24.05
27.617,7.611
28.682,12.613
23.908,13.563
26.407,14.626
29.603,17.063
42.294,23.597
33.088,23.413
13.914,8.064
19.345,7.823
33.653,19.799
27.236,18.948
30.405,20.904
46.962,28.104
38.427,24.688
26.591,
32.93,14.045
33.075,14.385
25.815,15.774
33.877,15.859
44.174,27.183
31.168,19.033
24.816,15.448
29.774,16.241
24.198,12.457
27.025,10.473
27.735,16.823
40.321,24.957
,
,
25.644,12.741
28.025,10.799
29.642,13.79
34.035,14.314
47.646,23.03
,
,
28.906,13.365
28.038,13.45
26.841,17.063
27.538,17.73
37.099,22.789
35.1,26.63
26.341,7.809
10.836,20.224
52.551,13.818
30.523,14.853
34.245,19.331
36.494,26.417
33.285,25.879
26.144,6.378
33.89,16.27
27.328,12.5
25.039,13.322
29.971,18.013
32.983,25.454
34.705,23.044
27.959,8.206
33.325,16.227
30.865,14.484
26.407,13.974
14.519,16.624
3.13,26.573
35.429,23.512
29.037,7.143
32.825,15.873
24.25,15.292
30.208,17.404
33.482,16.369
36.152,28.685
0,28.387
0,8.971
21.436,21.117
28.472,14.399
28.643,16.752
27.157,24.306
40.334,26.601
35.021,23.469
24.25,8.985
27.236,20.196
23.501,17.786
17.162,19.785
24.868,16.61
34.232,12.018
33.864,23.611
20.884,7.086
29.458,19.459
24.553,13.733
22.436,19.005
29.156,19.473
38.019,26.417
34.114,22.619
22.528,7.044
26.46,21.117
24.934,14.328
23.29,19.77
26.604,17.645
35.31,30.173
32.601,14.527
23.396,
20.739,
36.928,16.837
12.704,19.487
21.147,27.636
45.91,26.205
32.036,28.586
24.908,5.981
38.401,18.991
27.735,13.648
23.422,13.648
27.867,18.693
39.269,24.575
22.62,0.496
26.013,0.085
30.418,11.139
28.564,14.711
26.526,13.946
25.75,17.588
37.217,21.074
40.676,27.027
20.463,7.639
31.878,12.429
28.104,11.465
25.105,13.492
32.22,18.552
5.537,23.101
67.149,25.184
27.499,9.51
37.901,18.963
30.116,16.341
29.143,16.256
31.299,24.306
40.334,29.337
35.889,26.049
26.775,8.588
30.274,19.728
32.075,21.046
32.115,20.833
34.061,22.662
40.544,26.913
38.467,27.452
0,11.04
24.04,18.991
31.668,14.187
22.988,18.282
5.05,19.26
67.543,22.35
38.072,24.858
,9.609
24.185,15.845
25.079,12.727
23.961,15.916
31.457,17.361
37.112,25.978
40.715,3.16
29.195,10.02
31.575,14.016
19.503,14.371
22.738,19.062
22.909,20.649
42.188,26.899
38.927,23.455
23.659,9.113
25.079,19.515
21.62,16.695
23.948,16.086
26.17,20.607
48.317,31.718
43.898,27.99
82.378,9.155
18.898,19.7
66.491,15.249
25.579,14.782
30.984,16.893
36.625,23.073
,23.172
,7.894
15.018,16.383
26.262,11.905
29.129,12.868
28.104,0.709
36.599,22.137
,
20.266,8.418
32.825,12.443
17.123,10.204
27.17,13.974
28.88,14.994
34.232,25.553
35.797,28.444
25.815,9.042
25.316,13.846
27.433,14.087
23.369,14.626
29.629,16.482
42.28,31.463
37.559,34.651
31.72,8.177
39.795,14.328
23.882,15.93
27.393,19.359
33.403,24.376
35.968,27.99
42.359,34.666
24.882,2.367
34.219,16.525
28.13,14.342
28.774,18.778
31.483,21.613
41.11,30.967
39.282,40.079
29.09,10.7
29.235,22.676
28.064,22.633
29.563,23.739
33.311,30.456
48.343,44.246
42.083,52.976
27.315,17.12
44.779,38.761
40.729,39.3
42.057,36.125
6.891,1.46
7.917,3.543
20.331,25.184
14.269,5.527
24.474,21.641
26.696,19.969
35.416,21.131
12.178,5.385
24.171,22.491
20.279,20.876
16.965,1.786
24.934,12.443
22.672,9.751
18.346,9.453
26.749,12.188
34.995,18.608
30.405,24.759
20.594,5.896
27.906,12.939
23.422,11.21
22.817,12.231
24.54,13.407
36.823,25.099
31.733,26.927
21.107,4.932
26.552,11.04
23.961,10.162
25.921,14.13
25.829,18.226
36.665,25.524
37.993,31.76
21.923,7.469
29.563,15.037
20.765,16.128
23.698,13.265
31.957,19.416
38.138,29.889
40.558,36.154
29.3,4.96
28.814,15.646
24.842,11.295
24.684,1.842
26.236,5.697
35.192,20.224
31.312,28.642
24.224,5.074
30.181,11.947
22.33,12.642
4.563,14.342
47.712,18.665
25.026,20.649
42.425,27.749
30.944,0
28.524,9.963
23.593,12.174
20.423,7.497
23.948,15.93
28.353,25.241
36.428,27.721
29.392,6.193
27.801,12.457
5.431,12.358
21.712,12.642
26.657,17.446
42.504,29.634
39.584,33.73
26.065,3.841
25.947,14.101
,10.941
,14.073
,15.462
2.617,21.003
36.862,27.863
21.055,4.833
20.305,14.442
12.244,11.593
20.765,12.939
27.591,16.156
31.352,24.561
37.822,27.664
21.502,5.088
21.91,12.713
21.739,13.605
25.513,12.897
28.248,20.734
32.18,24.83
37.27,29.677
22.067,4.79
31.983,14.328
